Kansas,Colorado,Maryland,California,Arizona,Miami FL,Iowa,Villanova,Oregon,St Joseph's PA,Baylor,Duke,Northern Iowa,Texas A&M,VA Commonwealth,Oklahoma,North Carolina,USC,Indiana,Kentucky,Notre Dame,West Virginia,Wisconsin,Xavier,Virginia,Butler,Purdue,Iowa St,Seton Hall,Utah,Dayton,Michigan St
Kansas,Maryland,Miami FL,Villanova,Oregon,Duke,Texas A&M,Oklahoma,North Carolina,Kentucky,West Virginia,Xavier,Virginia,Iowa St,Utah,Michigan St,,,,,,,,,,,,,,,,
Kansas,Villanova,Duke,Oklahoma,North Carolina,Xavier,Virginia,Michigan St,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,Oklahoma,Xavier,Michigan St,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,Michigan St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
